time,cpu_percent,ram_percent,processes
2025-12-09 11:54:59,38.8,52.8,302
2025-12-09 11:55:04,21.8,52.5,301
2025-12-09 11:55:04,21.8,52.5,301
2025-12-09 11:57:21,14.6,53.5,300
2025-12-09 11:57:25,8.1,53.4,300
2025-12-09 11:57:28,6.5,53.3,299
2025-12-09 11:57:31,10.5,53.2,299
2025-12-09 11:57:34,7.7,53.4,298
2025-12-09 23:04:25,22.0,59.9,305
2025-12-09 23:04:28,8.1,60.1,305
2025-12-09 23:04:31,10.3,60.0,305
2025-12-09 23:04:34,8.0,59.9,305
2025-12-09 23:04:38,7.4,59.8,305
2025-12-09 23:04:40,8.2,59.9,305
2025-12-09 23:05:08,5.0,56.6,303
2025-12-09 23:05:08,8.6,56.6,303
2025-12-09 23:05:08,8.2,56.6,303
2025-12-09 23:05:08,7.4,56.6,303
2025-12-09 23:05:08,6.2,56.6,303
2025-12-09 23:05:08,6.4,56.6,303
2025-12-09 23:05:25,5.1,55.2,303
2025-12-09 23:05:25,6.3,55.2,303
2025-12-09 23:05:25,9.6,55.2,303
2025-12-09 23:05:26,4.1,55.2,303
2025-12-09 23:05:26,2.7,55.2,303
2025-12-09 23:05:26,5.7,55.2,303
2025-12-09 23:05:42,17.8,55.2,303
2025-12-09 23:05:43,5.8,55.2,303
2025-12-09 23:05:43,3.4,55.2,303
2025-12-09 23:05:43,2.9,55.2,303
2025-12-09 23:05:43,3.4,55.2,303
2025-12-09 23:05:43,6.1,55.2,303
2025-12-09 23:06:00,14.7,55.3,303
2025-12-09 23:06:00,17.3,55.3,303
2025-12-09 23:06:00,20.1,55.3,303
2025-12-09 23:06:03,7.1,55.3,303
2025-12-09 23:06:05,6.6,55.4,303
2025-12-09 23:06:05,9.2,55.4,303
2025-12-09 23:06:53,13.0,55.3,304
2025-12-09 23:06:53,9.7,55.3,304
2025-12-09 23:06:53,6.8,55.3,304
2025-12-09 23:06:53,17.6,55.3,304
2025-12-09 23:06:53,17.8,55.3,304
2025-12-09 23:06:53,19.5,55.3,304
2025-12-09 23:06:53,13.7,55.4,304
2025-12-09 23:06:57,12.5,55.3,304
2025-12-09 23:06:59,7.0,55.6,304
2025-12-09 23:07:03,7.3,56.1,305
2025-12-09 23:07:06,11.2,56.6,305
2025-12-09 23:07:10,8.4,56.7,305
2025-12-09 23:08:40,8.5,56.7,307
2025-12-09 23:08:41,10.6,56.8,307
2025-12-09 23:08:42,7.9,56.8,307
2025-12-09 23:08:42,5.5,56.8,307
2025-12-09 23:08:42,8.0,56.8,307
2025-12-09 23:08:46,6.3,56.7,307
2025-12-09 23:09:35,9.2,56.7,308
2025-12-09 23:09:36,11.0,56.7,308
2025-12-09 23:09:36,8.9,56.7,308
2025-12-09 23:09:36,7.7,56.7,308
2025-12-09 23:09:36,7.5,56.7,308
2025-12-09 23:09:39,7.2,56.7,308
2025-12-09 23:10:29,16.4,56.7,307
2025-12-09 23:10:29,10.9,56.7,307
2025-12-09 23:10:30,15.9,56.7,307
2025-12-09 23:10:30,15.8,56.7,307
2025-12-09 23:10:34,11.5,56.7,307
2025-12-09 23:10:39,5.4,56.6,307
2025-12-09 23:11:24,13.2,57.2,306
2025-12-09 23:11:33,7.0,56.9,306
2025-12-09 23:11:44,3.7,56.6,307
2025-12-09 23:11:45,9.0,56.6,307
2025-12-09 23:12:04,1.0,57.5,307
2025-12-09 23:12:06,7.6,57.4,307
2025-12-09 23:12:23,2.8,56.7,306
2025-12-09 23:12:24,6.7,56.7,306
2025-12-09 23:12:40,9.9,57.5,305
2025-12-09 23:12:51,2.1,57.4,305
2025-12-09 23:13:00,7.5,56.6,305
2025-12-09 23:13:11,2.7,56.4,305
2025-12-09 23:13:12,11.3,56.5,305
2025-12-09 23:13:31,13.0,56.4,305
2025-12-09 23:13:33,8.8,56.4,305
2025-12-09 23:13:50,7.1,56.4,305
2025-12-09 23:13:51,5.7,56.4,305
2025-12-09 23:14:09,6.1,55.4,304
2025-12-09 23:14:18,8.3,55.3,304
2025-12-09 23:14:28,0.8,55.3,304
2025-12-09 23:14:30,7.6,55.3,304
2025-12-09 23:14:47,13.0,55.3,305
2025-12-09 23:14:48,8.0,55.4,305
2025-12-09 23:15:06,0.8,55.4,305
2025-12-09 23:15:16,7.6,55.3,306
2025-12-09 23:15:26,3.6,55.3,306
2025-12-09 23:15:27,6.8,55.3,306
2025-12-09 23:15:44,7.2,55.3,306
2025-12-09 23:15:54,3.0,55.5,305
2025-12-09 23:16:03,11.8,55.4,305
2025-12-09 23:16:14,0.9,55.4,305
2025-12-09 23:16:15,7.6,55.4,305
2025-12-09 23:16:32,3.8,54.9,305
2025-12-09 23:16:43,11.1,55.2,309
2025-12-09 23:16:45,7.4,55.2,310
2025-12-09 23:17:03,5.3,55.3,309
2025-12-09 23:17:13,3.1,55.2,309
2025-12-09 23:17:24,1.7,55.2,308
2025-12-09 23:17:30,10.8,55.4,308
2025-12-09 23:17:44,8.2,51.0,308
2025-12-09 23:17:55,3.4,51.1,309
2025-12-09 23:17:57,5.6,51.1,309
2025-12-10 00:15:08,12.1,52.4,331
2025-12-10 00:15:11,8.7,52.4,330
2025-12-10 00:15:25,2.7,52.4,326
2025-12-10 00:15:27,6.2,52.3,326
2025-12-10 00:15:42,1.7,53.4,326
